prompt
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the 10.7mu vertical motion'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the combined vertical motion'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the subjective judgment of vertical motion'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the quasigeostrophic vertical motion'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the area of meso-alpha'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the area of moisture and adry air'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the other indicators of cloud shading'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the composite plains area forecast'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the satellite contribution to moisture'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the combined moisture levels'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the reading at the forecast center for moisture'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the visible cloud cover'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the combined cloud cover'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the infrared cloud cover'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the instability in the mountains'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the atmospheric instability in the mountains'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the outflow from mountains'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the cloud shading in convective situations'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the mountains (region 1) area weather forecast'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the wind hodograph'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the weather boundaries'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the morning weather boundaries'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the change in the atmospheric cap or lid'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the change in instability'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the capping withing scenario'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the low-level moisture advection'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the scale of instability in scenarios'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the region 5 forecast'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the date'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the scenario'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the scenario relevant to am convective inhibition'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the scenario relevant to am (morning) instability'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the scenario relevant to regions 2/3/4'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the scenario relevant to plains forecast'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the dewpoints'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the low-level lapse rate'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the mean relative humidity'."
"Based on wikipedia and other encyclopedias,  please provide the environmental and climatic background and description related to the term 'the mid-level lapse rate'."
